node_id_org,node_id_dest,distance,highway,oneway,bridge,tunnel
288363771,3731514485,140.030931,tertiary,yes,None,None
3731514485,288385024,2.901046,tertiary,yes,None,None
288385024,288385020,7.672124,tertiary,yes,None,None
288385020,2534635818,150.927686,tertiary,yes,None,None
2534635818,1321511255,36.812586,tertiary,yes,None,None
1321511255,1321511259,31.722050,tertiary,yes,None,None
1321511259,289034443,32.472453,tertiary,yes,None,None
289034443,1321511265,33.063180,tertiary,yes,None,None
1321511265,1321518420,33.904534,tertiary,yes,None,None
1321518420,1321518390,32.906169,tertiary,yes,None,None
1321518390,1321518394,30.982761,tertiary,yes,None,None
1321518394,288389257,33.148739,tertiary,yes,None,None
288389257,2593542694,29.775666,tertiary,yes,None,None
2593542694,3731514477,167.225494,tertiary,yes,None,None
3731514477,3731514470,365.338127,tertiary,yes,None,None
3731514470,3731514469,9.029481,tertiary,yes,None,None
3731514469,3731514462,165.053830,tertiary,yes,None,None
3731514462,3731514458,206.847774,tertiary,yes,None,None
3731514458,3731514454,207.696641,tertiary,yes,None,None
3731514454,3731514450,201.785512,tertiary,yes,None,None
3731514450,3731514449,8.544485,tertiary,yes,None,None
3731514449,2303738219,186.559611,tertiary,yes,None,None
1312828742,288392096,93.197702,tertiary,None,None,None
288392096,3731514462,107.250736,tertiary,None,None,None
3731514462,3731514461,18.531403,tertiary,None,None,None
3731514461,288364822,75.126197,tertiary,None,None,None
288364822,288364823,19.417754,tertiary,None,None,None
288364823,288364883,21.283519,tertiary,None,None,None
288364883,289053616,15.823285,tertiary,None,None,None
289053616,288364884,3.301008,tertiary,None,None,None
288364884,288364885,18.065857,tertiary,None,None,None
288364885,2303738275,16.931419,tertiary,None,None,None
2303738275,288364888,153.856049,tertiary,None,None,None
288364888,288364833,16.377891,tertiary,None,None,None
288364833,288364889,13.316740,tertiary,None,None,None
288364889,2303738255,6.353235,tertiary,None,None,None
2303738255,1337931836,8.915517,tertiary,None,None,None
1337931836,3731207285,8.673222,tertiary,None,None,None
3731207285,288364890,7.116501,tertiary,None,None,None
288364890,2303738251,9.848023,tertiary,None,None,None
2303738251,1337931794,12.409091,tertiary,None,None,None
1337931794,3731207272,71.700997,tertiary,None,None,None
3731207272,3731207271,9.639166,tertiary,None,None,None
3731207271,288364841,141.722683,tertiary,None,None,None
1666878454,1666878447,13.313220,tertiary,None,None,None
1666878447,1666878507,43.199430,tertiary,None,None,None
1666878507,1666878498,108.321945,tertiary,None,None,None
1666878498,1666878503,157.830035,tertiary,None,None,None
1666878503,288390245,283.841898,tertiary,None,None,None
288390245,288390388,65.567259,tertiary,None,None,None
288390388,1700573260,15.169992,tertiary,None,None,None
